weather_condition,temperature,hour,day,month,dayofweek,location_name
rain,19.54000000000002,15,6,7,5,Schönbornstraße
rain,19.54000000000002,15,6,7,5,Spiegelstraße
rain,19.54000000000002,15,6,7,5,Kaiserstraße
rain,19.29666666666668,16,6,7,5,Schönbornstraße
rain,19.29666666666668,16,6,7,5,Spiegelstraße
rain,19.29666666666668,16,6,7,5,Kaiserstraße
rain,19.05333333333334,17,6,7,5,Schönbornstraße
rain,19.05333333333334,17,6,7,5,Spiegelstraße
rain,19.05333333333334,17,6,7,5,Kaiserstraße
rain,18.810000000000002,18,6,7,5,Schönbornstraße
rain,18.810000000000002,18,6,7,5,Spiegelstraße
rain,18.810000000000002,18,6,7,5,Kaiserstraße
rain,17.730000000000018,19,6,7,5,Schönbornstraße
rain,17.730000000000018,19,6,7,5,Spiegelstraße
rain,17.730000000000018,19,6,7,5,Kaiserstraße
rain,16.650000000000034,20,6,7,5,Schönbornstraße
rain,16.650000000000034,20,6,7,5,Spiegelstraße
rain,16.650000000000034,20,6,7,5,Kaiserstraße
rain,15.57000000000005,21,6,7,5,Schönbornstraße
rain,15.57000000000005,21,6,7,5,Spiegelstraße
rain,15.57000000000005,21,6,7,5,Kaiserstraße
rain,14.31000000000004,22,6,7,5,Schönbornstraße
rain,14.31000000000004,22,6,7,5,Spiegelstraße
rain,14.31000000000004,22,6,7,5,Kaiserstraße
rain,13.050000000000031,23,6,7,5,Schönbornstraße
rain,13.050000000000031,23,6,7,5,Spiegelstraße
rain,13.050000000000031,23,6,7,5,Kaiserstraße
cloudy,11.79000000000002,0,7,7,6,Schönbornstraße
cloudy,11.79000000000002,0,7,7,6,Spiegelstraße
cloudy,11.79000000000002,0,7,7,6,Kaiserstraße
cloudy,11.24666666666669,1,7,7,6,Schönbornstraße
cloudy,11.24666666666669,1,7,7,6,Spiegelstraße
cloudy,11.24666666666669,1,7,7,6,Kaiserstraße
cloudy,10.703333333333356,2,7,7,6,Schönbornstraße
cloudy,10.703333333333356,2,7,7,6,Spiegelstraße
cloudy,10.703333333333356,2,7,7,6,Kaiserstraße
cloudy,10.160000000000025,3,7,7,6,Schönbornstraße
cloudy,10.160000000000025,3,7,7,6,Spiegelstraße
cloudy,10.160000000000025,3,7,7,6,Kaiserstraße
cloudy,11.260000000000028,4,7,7,6,Schönbornstraße
cloudy,11.260000000000028,4,7,7,6,Spiegelstraße
cloudy,11.260000000000028,4,7,7,6,Kaiserstraße
cloudy,12.360000000000033,5,7,7,6,Schönbornstraße
cloudy,12.360000000000033,5,7,7,6,Spiegelstraße
cloudy,12.360000000000033,5,7,7,6,Kaiserstraße
cloudy,13.460000000000036,6,7,7,6,Schönbornstraße
cloudy,13.460000000000036,6,7,7,6,Spiegelstraße
cloudy,13.460000000000036,6,7,7,6,Kaiserstraße
cloudy,14.596666666666692,7,7,7,6,Schönbornstraße
cloudy,14.596666666666692,7,7,7,6,Spiegelstraße
cloudy,14.596666666666692,7,7,7,6,Kaiserstraße
cloudy,15.733333333333348,8,7,7,6,Schönbornstraße
cloudy,15.733333333333348,8,7,7,6,Spiegelstraße
cloudy,15.733333333333348,8,7,7,6,Kaiserstraße
cloudy,16.870000000000005,9,7,7,6,Schönbornstraße
cloudy,16.870000000000005,9,7,7,6,Spiegelstraße
cloudy,16.870000000000005,9,7,7,6,Kaiserstraße
cloudy,17.646666666666686,10,7,7,6,Schönbornstraße
cloudy,17.646666666666686,10,7,7,6,Spiegelstraße
cloudy,17.646666666666686,10,7,7,6,Kaiserstraße
cloudy,18.423333333333364,11,7,7,6,Schönbornstraße
cloudy,18.423333333333364,11,7,7,6,Spiegelstraße
cloudy,18.423333333333364,11,7,7,6,Kaiserstraße
rain,19.200000000000045,12,7,7,6,Schönbornstraße
rain,19.200000000000045,12,7,7,6,Spiegelstraße
rain,19.200000000000045,12,7,7,6,Kaiserstraße
rain,19.566666666666702,13,7,7,6,Schönbornstraße
rain,19.566666666666702,13,7,7,6,Spiegelstraße
rain,19.566666666666702,13,7,7,6,Kaiserstraße
rain,19.933333333333355,14,7,7,6,Schönbornstraße
rain,19.933333333333355,14,7,7,6,Spiegelstraße
rain,19.933333333333355,14,7,7,6,Kaiserstraße
